,K-Value,cost_total,flowTime_avg,waiting_avg,time_workload_avg
0,1.0,1.73339495E8,4.4874549222222224E7,9.99247135E9,0.4241847559716681
1,2.0,1.78397979E8,4.775932907111111E7,1.0636943684E10,0.5754681757937034
2,3.0,1.72551934E8,4.449416573777778E7,9.906318849E9,0.3864399778393615
3,4.0,1.74456211E8,4.628525970222222E7,1.03058737E10,0.4707376018201795
4,5.0,1.72551934E8,4.449416573777778E7,9.906318849E9,0.3864399778393615
5,6.0,1.72195868E8,4.408699466222222E7,9.813695435E9,0.5615891060629082
6,7.0,1.78397979E8,4.775932907111111E7,1.0636943684E10,0.5754681757937034
7,8.0,1.72195868E8,4.408699466222222E7,9.813695435E9,0.5615891060629082
8,9.0,1.71908023E8,4.401496219111111E7,9.800309564E9,0.6437837397550246
9,10.0,1.76759102E8,4.6865909524444446E7,1.0438195097E10,5.0166380640949795
10,11.0,1.78397951E8,4.774930661333334E7,1.0634227835E10,0.5754681757937034
11,12.0,1.73151587E8,4.487241912E7,9.992940521E9,0.42839114092895364
12,13.0,1.71908023E8,4.401496219111111E7,9.800309564E9,0.6437837397550246
13,14.0,1.76759102E8,4.6865909524444446E7,1.0438195097E10,5.0166380640949795
14,15.0,1.72195868E8,4.408699466222222E7,9.813695435E9,0.5615891060629082
15,16.0,1.73339537E8,4.487075672E7,9.992078831E9,0.4241847559716681
16,17.0,1.72008324E8,4.4088518817777775E7,9.813373962E9,0.5860118991133055
17,18.0,1.7704106E8,4.7307651524444446E7,1.0535646013E10,1.2710378685730541
18,19.0,1.71720605E8,4.401384780444445E7,9.800316001E9,0.6536804155542236
19,20.0,1.76759256E8,4.6873404333333336E7,1.0440111807E10,5.0166380640949795
20,21.0,1.76759102E8,4.6865909524444446E7,1.0438195097E10,5.0166380640949795
21,22.0,1.73242679E8,4.486549830222222E7,9.990416101E9,18.046810757517544
22,23.0,1.72551934E8,4.449416573777778E7,9.906318849E9,0.3864399778393615
23,24.0,1.76759256E8,4.6873404333333336E7,1.0440111807E10,5.0166380640949795
