repetition,overall_process_time,overall_waiting_time,overall_cycle_time,overall_avg_process_time,overall_avg_waiting_time,overall_avg_cycle_time
1,2656722.875,21988400.7,500357165.4,7590.636787,62824.002,1429591.901
2,2556646.615,22761642.81,522413294,7304.704614,65033.26517,1492609.411
,,,,,,
Dif_1,4.67%,66.29%,58.68%,4.67%,66.29%,58.68%
Dif_2,-0.96%,84.61%,75.60%,-0.96%,84.61%,75.60%
