caseid,resource,processing,waiting,avg_process_time,avg_waiting_time,cycle_time,start_time
10,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2519.81, 189.348, 86.883, 2668.277, 1237.017, 10040.816, 832.204, 0.0, 27862.554, 392.386, 1856.814, 115196.028, 60.0, 60.0, 0.0, 367.685, 0.0, 526.234]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23373.724, 0.0, 0.0, 0.0, 301.629, 19.364, 0.0, 0.0, 0.0]",9105.336444444445,1316.3731666666665,187590.77300000002,2017-08-16 23:57:59.818000
11,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2934.688, 244.935, 83.695, 1065.288, 750.751, 2241.772, 1522.103, 11319.179, 1735.044, 0.0, 39807.693, 445.812, 1244.609, 127581.247, 60.0, 60.0, 0.0, 160.368, 0.0, 626.048]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1661.122, 452.386, 0.0, 0.0, 0.0, 8032.257, 0.0, 0.0, 0.0, 0.0]",9594.1616,507.28824999999995,202028.99699999997,2017-08-17 01:28:44.181000
12,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3233.602, 99.168, 113.711, 1459.227, 395.583, 1320.93, 1106.036, 18339.307, 936.174, 0.0, 45083.511, 588.448, 1020.764, 136074.316, 60.0, 60.0, 0.0, 282.01, 0.0, 452.266]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4818.433, 0.0, 23019.045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",10531.25265,1391.8739,238462.53100000002,2017-08-17 03:17:09.955000
13,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[1563.325, 683.886, 171.6, 832.989, 249.358, 435.546, 1878.273, 5754.607, 874.708, 0.0, 39478.837, 399.617, 1110.742, 157049.177, 60.0, 60.0, 0.0, 391.102, 1826.987, 0.0, 470.651]","[0.0, 0.0, 0.0, 5814.986, 0.0, 0.0, 0.0, 9014.761, 0.0, 0.0, 789.893, 60.0, 0.0, 0.0, 0.0, 0.0, 5903.11, 0.0, 0.0, 0.0, 0.0]",10156.733571428573,1027.75,234874.15500000003,2017-08-17 04:47:32.795000
14,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[1266.515, 392.35, 124.752, 2140.687, 1291.216, 1333.683, 1227.234, 8848.197, 1150.986, 0.0, 38397.619, 671.095, 760.435, 104548.179, 60.0, 60.0, 0.0, 316.383, 1888.859, 0.0, 422.099]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 44667.921, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7852.394714285714,2127.043857142857,209568.21,2017-08-17 19:41:44.561000
15,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3051.508, 148.829, 131.557, 872.544, 1734.369, 7042.154, 870.479, 0.0, 51510.661, 418.679, 440.993, 118580.151, 60.0, 60.0, 0.0, 296.942, 0.0, 869.946]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8517.81, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",10338.267333333331,473.21166666666664,194606.62199999997,2017-08-18 07:03:57.089000
16,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2807.984, 181.425, 123.334, 2358.024, 479.624, 806.82, 1850.888, 17879.428, 1862.574, 0.0, 46911.011, 741.658, 1137.144, 115491.852, 60.0, 60.0, 0.0, 249.885, 0.0, 520.259]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21215.129, 5487.971, 0.0, 4141.197, 0.0, 0.0, 0.0, 0.0]",9676.0955,1542.2148499999998,224366.207,2017-08-18 14:46:12.086000
17,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3342.538, 89.676, 129.262, 1635.067, 240.736, 1816.421, 829.196, 1908.476, 717.337, 1384.08, 1303.111, 16782.693, 1563.963, 0.0, 32886.554, 567.217, 1895.631, 25328.275, 60.0, 60.0, 0.0, 244.142, 0.0, 741.008]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 480.261, 0.0, 0.0, 0.0, 0.0, 3028.983, 0.0, 0.0, 0.0]",3896.8909583333334,146.2185,97034.62700000001,2017-08-18 15:24:37.652000
18,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3309.594, 477.487, 126.403, 1297.01, 835.671, 6447.933, 725.607, 0.0, 18704.681, 651.06, 2011.839, 59822.219, 60.0, 60.0, 0.0, 405.084, 0.0, 440.98]","[0.0, 0.0, 0.0, 0.0, 0.0, 60.0, 0.0, 0.0, 0.0, 0.0, 21691.557, 1137.144, 0.0, 0.0, 1459.483, 0.0, 0.0, 0.0]",5298.642666666667,1352.676888888889,119723.75200000001,2017-08-19 02:07:31.143000
19,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3384.48, 245.017, 143.93, 420.261, 835.043, 20198.031, 609.717, 0.0, 42687.779, 384.783, 1803.494, 93029.8, 60.0, 60.0, 0.0, 242.796, 0.0, 309.77]","[0.0, 0.0, 0.0, 2518.971, 567.217, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9134.161166666665,171.4548888888889,167501.08899999998,2017-08-19 07:37:54.364000
20,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[853.965, 2615.861, 203.665, 1446.906, 1329.463, 16180.691, 1571.874, 0.0, 27554.379, 546.417, 1617.741, 59379.319, 60.0, 60.0, 0.0, 400.404, 0.0, 706.181]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10180.591, 0.0, 0.0, 0.0, 0.0]",6362.603666666667,565.5883888888889,124707.45700000001,2017-08-19 18:31:47.277000
21,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[782.503, 158.475, 106.219, 2067.455, 800.048, 6383.481, 1873.946, 0.0, 21500.644, 418.711, 1579.483, 133065.216, 60.0, 60.0, 0.0, 286.615, 0.0, 441.103]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4098.737, 0.0, 0.0, 10830.943, 0.0, 0.0, 0.0, 0.0]",9421.32772222222,829.4266666666667,184513.57899999997,2017-08-20 00:05:59.129000
22,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1715.842, 145.607, 187.47, 1525.121, 2036.329, 15345.68, 584.305, 0.0, 24259.207, 557.545, 349.528, 87354.074, 60.0, 60.0, 0.0, 124.106, 0.0, 399.94]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7483.5974444444455,0.0,134704.75400000002,2017-08-20 06:40:23.025000
23,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[2267.277, 360.101, 100.243, 1514.058, 958.69, 1394.173, 749.33, 1367.699, 1328.776, 21416.327, 1824.686, 0.0, 36280.51, 736.007, 1524.658, 54290.308, 60.0, 60.0, 0.0, 355.077, 1835.627, 0.0, 275.636]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8143.509, 0.0, 0.0, 0.0, 0.0, 0.0]",5595.616652173912,354.0656086956522,136842.69199999998,2017-08-20 14:24:43.151000
24,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1690.795, 116.96, 116.411, 1608.697, 625.527, 927.78, 478.55, 834.38, 229.091, 1381.614, 846.733, 1343.7, 1317.5, 7313.936, 885.823, 0.0, 21610.312, 485.792, 512.097, 162821.036, 60.0, 60.0, 0.0, 255.592, 0.0, 733.935]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 120.0, 0.0, 0.0, 0.0, 5318.766, 0.0, 0.0, 0.0, 0.0]",7932.933115384615,209.18330769230766,211695.027,2017-08-20 17:22:00.340000
25,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1133.786, 155.56, 162.534, 1453.074, 554.317, 1930.134, 2278.486, 18097.268, 846.349, 0.0, 38133.109, 778.007, 975.492, 49731.137, 60.0, 60.0, 0.0, 412.369, 0.0, 613.754]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22730.078, 0.0, 0.0, 0.0, 0.0]",5868.7688,1136.5039000000002,140105.454,2017-08-20 23:31:26.649000
26,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1546.604, 300.243, 150.051, 93.01, 438.851, 1991.456, 1425.686, 9119.07, 2016.377, 0.0, 14746.541, 498.295, 915.626, 78796.88, 60.0, 60.0, 0.0, 398.857, 0.0, 439.031]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2432.844, 4674.659, 0.0, 0.0, 0.0, 2029.055, 1305.578, 0.0, 0.0, 0.0]",5649.8289,522.1067999999999,123438.714,2017-08-21 18:25:31.100000
27,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[1393.57, 152.139, 102.154, 1042.985, 788.938, 1863.021, 720.151, 1582.526, 686.12, 1145.794, 1541.019, 16325.265, 772.509, 0.0, 24951.738, 775.034, 1753.755, 39496.282, 60.0, 60.0, 0.0, 339.511, 1913.119, 0.0, 811.128]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1162.926, 0.0, 0.0, 3885.998, 11822.409, 0.0, 0.0, 0.0, 7254.789, 0.0, 0.0, 0.0, 0.0, 0.0]",3931.0703200000003,965.0448799999999,122402.88,2017-08-21 18:43:46.718000
28,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[1578.852, 635.632, 131.897, 1919.823, 592.602, 1641.607, 2000.471, 16121.546, 1891.563, 0.0, 31661.821, 484.015, 359.674, 170421.416, 60.0, 60.0, 0.0, 213.805, 940.169, 0.0, 755.826]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 406.716, 0.0, 0.0, 4735.414, 4254.458, 0.0, 0.0, 0.0, 634.982, 25241.226, 0.0, 0.0, 0.0, 0.0]",11022.41519047619,1679.6569523809526,266743.515,2017-08-21 19:45:07.177000
29,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[502.006, 217.147, 137.833, 1569.642, 2821.957, 6829.974, 926.736, 0.0, 24629.314, 538.565, 572.251, 172433.778, 60.0, 60.0, 0.0, 178.317, 0.0, 617.313]","[0.0, 0.0, 0.0, 514.939, 1381.294, 11715.298, 0.0, 0.0, 4311.045, 5510.619, 0.0, 0.0, 0.0, 2460.95, 21674.334, 0.0, 0.0, 0.0]",11783.046277777778,2642.693277777778,259663.31199999998,2017-08-21 21:24:33.210000
30,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[395.139, 101.812, 98.531, 1627.264, 655.022, 1548.667, 2276.421, 11373.672, 1879.292, 0.0, 23921.24, 368.172, 769.969, 54778.031, 60.0, 60.0, 0.0, 196.442, 1044.83, 0.0, 568.081]","[0.0, 0.0, 0.0, 4080.067, 0.0, 9636.009, 4175.182, 21406.978, 0.0, 0.0, 1007.52, 21445.533, 0.0, 0.0, 0.0, 3747.886, 51566.455, 0.0, 0.0, 0.0, 0.0]",4843.9326190476195,5574.55380952381,218788.21500000003,2017-08-21 22:05:42.479000
31,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[2796.576, 256.009, 112.75, 978.318, 766.631, 5183.402, 1202.94, 0.0, 45463.661, 735.247, 1416.552, 34397.208, 60.0, 60.0, 0.0, 170.574, 1442.131, 0.0, 261.687]","[0.0, 0.0, 0.0, 8576.858, 4700.358, 27835.972, 0.0, 0.0, 685.253, 1955.127, 603.832, 42560.208, 0.0, 24714.471, 5185.472, 0.0, 0.0, 0.0, 0.0]",5015.98347368421,6148.292157894737,212121.23700000002,2017-08-22 00:11:18.992000
32,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 1', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[319.761, 444.197, 156.336, 1076.195, 518.897, 363.268, 472.069, 10469.906, 1484.248, 0.0, 21445.533, 525.519, 1717.745, 42560.208, 60.0, 60.0, 0.0, 406.608, 0.0, 798.801]","[0.0, 0.0, 0.0, 8573.348, 0.0, 4796.511, 28130.534, 5183.402, 0.0, 0.0, 13485.275, 1870.001, 0.0, 1064.385, 0.0, 1305.867, 9209.205, 0.0, 0.0, 0.0]",4143.964549999999,3680.9264000000003,156497.819,2017-08-22 00:30:51.348000
33,"['Role 1', 'Role 2', 'Role 2', 'Role 3', 'Role 3', 'Role 3', 'Role 1', 'Role 1', 'Role 3', 'Role 3', 'Role 11', 'Role 11', 'Role 1', 'Role 3', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1964.336, 86.99, 75.599, 2000.669, 2236.294, 5378.934, 1079.887, 0.0, 25362.961, 767.007, 1339.079, 146656.799, 60.0, 60.0, 0.0, 170.246, 0.0, 623.42]","[0.0, 0.0, 0.0, 3357.805, 3904.615, 26424.04, 0.0, 0.0, 17121.119, 3457.818, 0.0, 352.167, 0.0, 3447.039, 18962.3, 0.0, 0.0, 0.0]",10436.790055555557,4279.2723888888895,264889.124,2017-08-22 02:12:54.773000
