repetition,overall_process_time,overall_waiting_time,overall_cycle_time,overall_avg_process_time,overall_avg_waiting_time,overall_avg_cycle_time
0,2532523.844,7413341.135,206766959.4,7235.78241,21180.97467,590762.7412
1,2581067.112,3503877.903,127453006.1,7374.477463,10011.07972,364151.446
