repetition,overall_process_time,overall_waiting_time,overall_cycle_time,overall_avg_process_time,overall_avg_waiting_time,overall_avg_cycle_time
1,2613521.9390579993,32368901.93086261,722388519.6540005,7467.205540165713,92482.57694532174,2063967.1990114301
2,2583611.4371376373,30738979.58271473,692621326.0849999,7381.746963250393,87825.65595061351,1978918.0745285712
