repetition,overall_process_time,overall_waiting_time,overall_cycle_time,overall_avg_process_time,overall_avg_waiting_time,overall_avg_cycle_time
1,2631896.6739212153,3785207.2595615634,132851836.153,7519.704782632044,10814.87788446161,379576.67472285713
2,2640725.7881791424,7268925.919544515,203572378.09,7544.930823368978,20768.359770127186,581635.3659714286
