,K-Value,cost_total,flowTime_avg,waiting_avg,time_workload_avg
0,1.0,6167703.0,63399.73777777778,1.3005271E7,0.16287732051165194
1,2.0,1.1924692E7,56969.53333333333,1.1328075E7,0.10440400628519925
2,3.0,8793494.0,55226.26666666667,1.093584E7,0.07715357686166929
3,4.0,1.0893376E7,54980.35555555556,1.0836178E7,0.06850322066692306
4,5.0,1.2022866E7,54525.62222222222,1.0733863E7,0.05797816171062664
5,6.0,1.1738105E7,53999.484444444446,1.0659814E7,0.04600964458897582
6,7.0,1.2637202E7,53891.05777777778,1.0635418E7,0.04154929103321977
7,8.0,1.2944685E7,53836.26222222222,1.0623089E7,0.03820402586640274
8,9.0,1.3370143E7,54010.066666666666,1.0617863E7,0.03926694578832188
9,10.0,1.2668687E7,53995.933333333334,1.0614683E7,0.03692804379803378
10,11.0,1.2376774E7,53792.36444444444,1.0613212E7,0.03181761054793386
11,12.0,1.3168503E7,53989.39555555556,1.0613212E7,0.033419690812601634
12,13.0,1.1969961E7,53792.36444444444,1.0613212E7,0.029197542724972266
