repetition,overall_process_time,overall_waiting_time,overall_cycle_time,overall_avg_process_time,overall_avg_waiting_time,overall_avg_cycle_time
1,2628510.191021972,1834455.0187814615,91239260.70900004,7510.029117205634,5241.300053661319,260683.60202571438
2,2577635.3986814898,5973127.267349084,177961362.162,7364.6725676614,17066.077906711667,508461.0347485714
