caseid,resource,processing,waiting,avg_process_time,avg_waiting_time,cycle_time,start_time
10,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 1', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[726.106, 108.645, 185.626, 1575.135, 863.005, 2177.026, 712.206, 8453.967, 1388.125, 0.0, 44800.181, 730.629, 1584.094, 160145.017, 60.0, 60.0, 0.0, 262.083, 0.0, 302.792]","[0.0, 0.0, 0.0, 8400.891, 0.0, 1178.022, 7643.862, 6748.714, 0.0, 0.0, 2021.235, 0.0, 16932.866, 28705.168, 0.0, 0.0, 84251.065, 0.0, 0.0, 0.0]",11206.73185,7794.09115,380016.45999999996,2017-08-15 20:54:43.113000
11,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[1079.497, 1413.139, 104.372, 1132.248, 1034.157, 6703.078, 1849.541, 0.0, 17136.783, 380.12, 1886.839, 21008.956, 60.0, 60.0, 0.0, 154.289, 0.0, 717.016]","[0.0, 0.0, 0.0, 6724.8, 6426.763, 8453.967, 0.0, 0.0, 24877.232, 0.0, 16510.376, 46570.646, 0.0, 118.904, 25310.584, 0.0, 0.0, 0.0]",3040.0019444444447,7499.626222222222,189713.307,2017-08-16 00:21:27.375000
12,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[2674.173, 90.088, 70.699, 889.011, 925.265, 2499.339, 975.871, 1540.045, 839.435, 1109.828, 639.92, 1587.815, 2519.52, 17990.929, 555.704, 0.0, 27036.13, 513.146, 459.982, 161973.674, 60.0, 60.0, 0.0, 123.031, 0.0, 522.911]","[0.0, 0.0, 0.0, 31828.974, 0.0, 0.0, 0.0, 264.17, 0.0, 293.842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.0, 33745.216, 650.526, 0.0, 0.0, 44942.568, 0.0, 0.0, 0.0]",8679.09676923077,4299.434461538462,337441.81200000003,2017-08-16 09:21:45.576000
13,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[3076.384, 87.372, 131.167, 709.993, 530.048, 18472.594, 1752.117, 0.0, 47410.362, 408.57, 650.526, 136165.311, 60.0, 60.0, 0.0, 227.545, 0.0, 384.761]","[0.0, 0.0, 0.0, 891.997, 0.0, 1540.045, 0.0, 0.0, 0.0, 0.0, 19307.824, 1114.685, 0.0, 0.0, 67805.765, 0.0, 1.063, 0.0]",11673.708333333332,5036.743277777777,300788.12899999996,2017-08-16 19:01:36.205000
14,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[1866.352, 68.895, 107.418, 2695.469, 1032.278, 5792.145, 999.803, 0.0, 49869.25, 448.082, 982.75, 141683.705, 60.0, 60.0, 0.0, 361.893, 0.0, 552.123]","[0.0, 0.0, 0.0, 0.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20776.694, 84621.394, 0.0, 7463.198, 14700.099, 0.0, 0.0, 0.0]",11476.675722222222,7090.076944444445,334201.548,2017-08-17 05:33:32.991000
15,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5', 'Role 5']","[634.068, 162.373, 102.513, 1248.43, 1579.323, 6287.342, 1992.21, 0.0, 24278.921, 597.647, 1732.504, 84621.394, 60.0, 60.0, 0.0, 336.602, 1418.976, 0.0, 699.798]","[0.0, 0.0, 0.0, 528.43, 0.0, 0.0, 0.0, 0.0, 0.0, 86.005, 23717.515, 982.75, 0.0, 0.0, 7532.97, 0.0, 0.0, 0.0, 0.0]",6621.689526315788,1728.8247368421053,158659.77099999995,2017-08-17 11:19:42.096000
16,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[654.078, 187.471, 93.678, 1409.692, 893.266, 1287.475, 730.594, 1771.489, 359.846, 1344.0, 589.526, 1563.494, 257.934, 1305.507, 449.824, 554.075, 648.189, 1532.948, 407.492, 1220.801, 586.237, 1482.118, 1486.839, 11568.892, 1796.82, 0.0, 24065.984, 770.548, 676.385, 84371.065, 60.0, 60.0, 0.0, 127.004, 0.0, 373.119]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 753.445, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 582.008, 2283.255, 65897.954, 3194.471, 0.0, 9830.095, 59778.583, 0.0, 0.0, 0.0]",4019.0663888888894,3953.328083333333,287006.201,2017-08-17 18:05:57.298000
17,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 1', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5', 'Role 5']","[1088.969, 1160.357, 82.744, 951.379, 484.303, 86.005, 962.226, 6023.516, 1537.135, 0.0, 19937.846, 746.798, 1660.719, 33317.173, 60.0, 60.0, 0.0, 320.399, 1553.362, 0.0, 745.213]","[0.0, 0.0, 0.0, 46.018, 0.0, 58.117, 597.647, 0.0, 0.0, 0.0, 0.0, 6943.039, 77602.14, 3293.714, 0.0, 0.0, 51847.301, 227.545, 0.0, 0.0, 0.0]",3370.3878095238097,6695.977190476191,211393.665,2017-08-17 20:28:43.819000
18,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[1207.244, 130.116, 98.549, 1490.15, 875.612, 17319.949, 2025.122, 0.0, 30099.485, 473.721, 747.447, 86924.131, 60.0, 60.0, 0.0, 204.609, 0.0, 262.167]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 715.429, 0.0, 57055.875, 19228.591, 0.0, 0.0, 50987.588, 0.0, 0.0, 0.0]",7887.683444444444,7110.415722222223,269965.78500000003,2017-08-17 23:01:17.910000
19,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[2187.482, 303.352, 70.36, 2378.828, 1940.327, 7683.263, 1341.743, 0.0, 33460.703, 700.779, 1429.654, 120642.593, 60.0, 60.0, 0.0, 266.521, 0.0, 861.021]","[0.0, 0.0, 0.0, 6006.357, 3324.494, 60.0, 0.0, 0.0, 1050.785, 0.0, 44879.479, 33757.401, 0.0, 0.0, 2644.405, 0.0, 0.0, 0.0]",9632.590333333334,5095.717833333333,265109.547,2017-08-18 00:55:28.657000
20,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 1', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[1139.685, 252.314, 167.617, 1645.73, 783.571, 2283.255, 641.048, 16199.177, 988.636, 0.0, 29519.255, 763.129, 440.228, 156339.469, 60.0, 60.0, 0.0, 302.026, 0.0, 334.404]","[0.0, 0.0, 0.0, 6372.538, 0.0, 7881.801, 770.548, 0.0, 0.0, 0.0, 0.0, 0.0, 20640.195, 42052.387, 0.0, 13291.681, 27906.916, 297.194, 166.161, 0.0]",10595.977200000003,5968.97105,331298.9650000001,2017-08-18 05:34:57.764000
21,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[2615.351, 83.514, 123.721, 844.895, 618.454, 998.707, 287.337, 1633.697, 530.409, 8608.46, 1334.218, 0.0, 20576.81, 501.299, 336.267, 149519.688, 60.0, 60.0, 0.0, 369.981, 0.0, 879.801]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 80843.403, 2924.545, 0.0, 1275.647, 8994.195, 0.0, 0.0, 0.0]",8635.573136363635,4274.445000000001,284020.399,2017-08-18 21:05:34.423000
22,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[1048.949, 861.488, 106.346, 1780.127, 762.457, 1253.879, 668.991, 2092.037, 1180.12, 6725.421, 753.681, 0.0, 16869.19, 463.945, 1830.481, 79883.617, 60.0, 60.0, 0.0, 344.632, 0.0, 430.723]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 44233.088, 17167.885, 0.0, 601.835, 54822.161, 0.0, 0.0, 254.588]",5326.185636363635,5321.798045454546,234255.64099999997,2017-08-19 08:31:11.246000
23,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 1', 'Role 4', 'Role 1', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[897.662, 148.642, 111.942, 1873.998, 645.683, 586.756, 533.422, 1528.832, 1399.956, 18926.871, 1159.621, 0.0, 26157.045, 748.983, 717.119, 38619.593, 60.0, 60.0, 0.0, 297.194, 0.0, 420.749]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10224.053, 59121.464, 2047.286, 0.0, 16279.773, 27966.916, 0.0, 47.438, 0.0]",4313.366727272727,5258.496818181818,210580.998,2017-08-19 15:01:21.327000
24,"['Role 1', 'Role 3', 'Role 3', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 1', 'Role 4', 'Role 4', 'Role 2', 'Role 2', 'Role 1', 'Role 4', 'Role 2', 'Role 5', 'Role 5', 'Role 5']","[2303.858, 357.598, 78.424, 1598.867, 1179.384, 8343.005, 1488.39, 0.0, 14692.159, 639.618, 1094.064, 114087.814, 60.0, 60.0, 0.0, 133.803, 0.0, 325.607]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1528.042, 10516.245, 45821.716, 0.0, 6269.031, 82575.011, 0.0, 0.0, 0.0]",8135.699499999999,8150.558055555556,293152.636,2017-08-19 19:02:55.856000
