,Sim_Percentage,cost_total,flowTime_avg,waiting_avg,time_workload_avg
0,0.1,1.73339495E8,4.4874549222222224E7,9.99247135E9,0.4241847559716681
1,0.2,1.72008324E8,4.4088518817777775E7,9.813373962E9,0.5860118991133055
2,0.3,1.72195868E8,4.408699466222222E7,9.813695435E9,0.5615891060629082
3,0.4,1.73339495E8,4.4874549222222224E7,9.99247135E9,0.4241847559716681
4,0.5,1.78397979E8,4.775932907111111E7,1.0636943684E10,0.5754681757937034
5,0.6,1.73339551E8,4.488562039111111E7,9.995192755E9,0.4241847559716681
6,0.7,1.72195868E8,4.408699466222222E7,9.813695435E9,0.5615891060629082
7,0.8,1.71035589E8,4.4272152053333335E7,9.855487345E9,0.5958645783309029
8,0.9,1.76759256E8,4.6873404333333336E7,1.0440111807E10,5.0166380640949795
9,1.0,1.73151643E8,4.4884041395555556E7,9.995785925E9,0.42839114092895364
