,K-Value,cost_total,flowTime_avg,waiting_avg,time_workload_avg
0,1.0,1.434536E7,63399.73777777778,1.3005271E7,0.19545278461398233
1,2.0,1.5155794E7,57746.34222222222,1.1458525E7,0.14373936564176476
2,3.0,1.4739465E7,55246.862222222226,1.0940474E7,0.09658687859783924
3,4.0,1.2850903E7,54554.37777777778,1.0784665E7,0.07995504995758318
4,5.0,1.3245719E7,54561.62666666666,1.0741964E7,0.07731776684682497
5,6.0,1.1285443E7,54044.02222222222,1.0669835E7,0.06322489552895341
6,7.0,1.0623831E7,53945.16,1.0647591E7,0.05844485140648775
7,8.0,1.0668794E7,54110.62222222222,1.0640488E7,0.060308653924009636
8,9.0,9435476.0,53870.275555555556,1.0630742E7,0.05207145924320021
9,10.0,8760348.0,53859.973333333335,1.0628424E7,0.04984077198604958
10,11.0,8760348.0,53859.973333333335,1.0628424E7,0.04984077198604958
11,12.0,8760348.0,53859.973333333335,1.0628424E7,0.04984077198604958
12,13.0,8760348.0,53859.973333333335,1.0628424E7,0.04984077198604958
