,K-Value,cost_total,flowTime_avg,waiting_avg,time_workload_avg
0,1.0,8210076.0,62546.01777777778,1.2649581E7,0.09944269202276759
1,2.0,1.0904012E7,55248.78666666667,1.1238104E7,0.0590256719156661
2,3.0,1.0423917E7,53568.60444444444,1.0860063E7,0.0455533318799656
3,4.0,8697023.0,52940.39555555556,1.0718716E7,0.038817161862115354
4,5.0,8697023.0,52940.39555555556,1.0718716E7,0.038817161862115354
5,6.0,8697023.0,52940.39555555556,1.0718716E7,0.038817161862115354
6,7.0,8697023.0,52940.39555555556,1.0718716E7,0.038817161862115354
7,8.0,8697023.0,52940.39555555556,1.0718716E7,0.038817161862115354
8,9.0,8697023.0,52940.39555555556,1.0718716E7,0.038817161862115354
9,10.0,8697023.0,52940.39555555556,1.0718716E7,0.038817161862115354
10,11.0,8697023.0,52940.39555555556,1.0718716E7,0.038817161862115354
11,12.0,8697023.0,52940.39555555556,1.0718716E7,0.038817161862115354
12,13.0,8697023.0,52940.39555555556,1.0718716E7,0.038817161862115354
